fileyear,Program,Level,Number,MedianAnnualFamilyIncome,Person,IHSS,Child Welfare,Foster Care,DDS,Black,White,Hispanic,Asian_PI,Native_American,Other_missing,Female,Male
2021,CalFresh,State Assembly,District 01,78779.4,72954,3951,1974,525,1206,1292,51026,6903,1808,1933,9992,38581,34373
2021,CalFresh,State Assembly,District 02,86987.25,73278,4367,2234,392,1557,1288,39051,12850,1682,4150,14257,38841,34437
2021,CalFresh,State Assembly,District 03,71725.5,91802,4382,2303,576,1903,3250,49345,22863,5049,1328,9967,49124,42678
2021,CalFresh,State Assembly,District 04,99744.75,55788,3328,1054,212,1032,2115,22514,17693,1930,811,10725,30852,24936
2021,CalFresh,State Assembly,District 05,81869.55,75018,2997,1681,355,1164,1442,34155,28369,811,950,9291,39649,35369
2021,CalFresh,State Assembly,District 06,126485.1,30914,2054,544,179,688,1458,14276,3836,1579,220,9545,17041,13873
2021,CalFresh,State Assembly,District 07,80375.4,121749,8307,2770,417,1773,25822,24327,22232,9949,1023,38396,65220,56529
2021,CalFresh,State Assembly,District 08,80117.1,95279,6674,1693,427,1702,14350,24150,12267,5428,628,38456,51634,43645
2021,CalFresh,State Assembly,District 09,86739.45,82418,6161,1100,233,1595,14909,10898,17455,13566,485,25105,45457,36961
2021,CalFresh,State Assembly,District 10,133427.7,36181,2809,677,154,625,1854,12516,11714,1579,274,8244,19575,16606
2021,CalFresh,State Assembly,District 11,104494.95,68890,3814,1047,212,1272,16665,13708,15046,4690,333,18448,38754,30136
2021,CalFresh,State Assembly,District 12,83538,70844,3364,1009,206,1170,3217,24428,27586,4272,230,11111,39143,31701
2021,CalFresh,State Assembly,District 13,77075.25,105293,3990,1917,417,2096,18159,16098,40782,15562,384,14308,57477,47816
2021,CalFresh,State Assembly,District 14,108680.25,60046,3562,861,170,936,13607,10649,13109,5366,253,17062,33153,26893
2021,CalFresh,State Assembly,District 15,120084.3,54501,4209,762,133,871,14448,4977,10710,5003,133,19230,30559,23942
2021,CalFresh,State Assembly,District 16,188087.55,16724,1535,194,45,372,1443,3731,2280,2498,45,6727,9595,7129
2021,CalFresh,State Assembly,District 17,139799.1,81992,14338,1495,164,770,10420,8265,11691,23952,296,27368,41332,40660
2021,CalFresh,State Assembly,District 18,94571.4,97219,9337,1696,306,1599,28462,5116,20347,16845,237,26212,53278,43941
2021,CalFresh,State Assembly,District 19,139749.75,41899,7016,437,89,462,2127,4519,5482,15744,65,13962,23504,18395
2021,CalFresh,State Assembly,District 20,126540.75,48492,4100,599,101,847,6107,4195,12232,9089,105,16764,27369,21123
2021,CalFresh,State Assembly,District 21,64882.65,115364,3861,2155,493,1675,6619,24683,66827,5197,294,11744,62188,53176
2021,CalFresh,State Assembly,District 22,165570.3,22410,1581,267,119,363,781,3601,7984,3412,56,6576,12194,10216
2021,CalFresh,State Assembly,District 23,84595.35,108363,5566,2021,668,1637,10395,18868,42110,5830,987,30173,60147,48216
2021,CalFresh,State Assembly,District 24,193505.55,19376,1876,217,20,299,1362,3007,7482,2731,39,4755,10664,8712
2021,CalFresh,State Assembly,District 25,151313.4,34912,4261,455,79,566,1883,3520,8162,11933,121,9293,19484,15428
2021,CalFresh,State Assembly,District 26,57968.4,144624,3835,2492,533,2290,2690,24984,90816,2848,1535,21751,77653,66971
2021,CalFresh,State Assembly,District 27,111683.25,61594,6875,1110,132,802,2556,4405,24440,18730,249,11214,33102,28492
2021,CalFresh,State Assembly,District 28,179207.7,24842,3003,447,86,363,1469,4811,7885,3839,134,6704,13720,11122
2021,CalFresh,State Assembly,District 29,129249.75,44178,2623,609,125,536,1477,13275,15580,2304,205,11337,23721,20457
2021,CalFresh,State Assembly,District 30,87691.8,75319,3366,893,143,1016,905,6897,57035,1338,158,8986,40780,34539
2021,CalFresh,State Assembly,District 31,49591.5,160505,7422,3041,764,2086,10337,13869,92809,6310,904,36276,85295,75210
2021,CalFresh,State Assembly,District 32,50552.25,127183,3761,2487,678,1943,8852,14771,89231,2704,347,11278,68508,58675
2021,CalFresh,State Assembly,District 33,65211.3,140688,6812,3379,762,1515,26099,34237,64043,2309,533,13467,76023,64665
2021,CalFresh,State Assembly,District 34,79934.4,109004,3446,2421,798,1962,11722,33220,49792,2882,340,11048,59847,49157
2021,CalFresh,State Assembly,District 35,90454.35,64421,2532,1592,364,1214,1134,29644,15986,918,299,16440,34377,30044
2021,CalFresh,State Assembly,District 36,72199.05,131678,9977,6528,1068,3157,38566,23557,58905,2250,274,8126,71817,59861
2021,CalFresh,State Assembly,District 37,103824,54182,1952,859,164,1170,935,17619,19115,873,216,15424,29435,24747
2021,CalFresh,State Assembly,District 38,123257.4,41669,3949,875,174,1035,2506,14575,14996,3268,82,6242,23131,18538
2021,CalFresh,State Assembly,District 39,78892.8,90462,11587,2515,327,1950,4794,21635,56475,3116,109,4333,49257,41205
2021,CalFresh,State Assembly,District 40,80894.1,86555,4640,2153,564,987,14832,12827,45814,3494,185,9403,47924,38631
2021,CalFresh,State Assembly,District 41,115222.8,47325,4833,1396,339,902,7616,11183,19667,3627,83,5149,26123,21202
2021,CalFresh,State Assembly,District 42,76504.05,85964,5630,2410,435,807,8912,29704,34581,1974,393,10400,46323,39641
